Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Quitinete;Tijuca;1;0;1;26;800.0;483.0;24.0
Apartamento;Vila da Penha;1;0;0;48;750.0;245.0;
Apartamento;Méier;1;1;0;42;900.0;405.0;17.0
Quitinete;Flamengo;1;0;0;26;950.0;420.0;25.0
Quitinete;Copacabana;1;0;0;30;1180.0;455.0;70.0
Quitinete;Botafogo;1;0;0;21;900.0;350.0;24.0
Apartamento;Centro;1;0;0;33;750.0;486.0;25.0
Apartamento;Méier;1;1;0;45;800.0;200.0;50.0
Apartamento;Glória;1;0;0;43;1000.0;503.0;15.0
Apartamento;Pechincha;1;0;0;46;800.0;545.0;14.0
Apartamento;Pedra de Guaratiba;1;0;0;42;580.0;;
Apartamento;Barra da Tijuca;1;1;0;42;800.0;758.0;
Quitinete;Centro;1;0;0;30;750.0;350.0;
Casa de Vila;Ramos;1;0;0;40;500.0;;
Casa;Campo Grande;1;0;0;65;600.0;;
Apartamento;Vila Isabel;1;0;0;41;1100.0;390.0;24.0
Casa;Campo Grande;1;0;0;50;550.0;;
Casa;Irajá;1;1;0;45;800.0;;
Quitinete;Tijuca;1;0;0;30;990.0;;
Apartamento;Botafogo;1;0;0;23;850.0;581.0;30.0
Casa;Campo Grande;1;0;0;55;650.0;;
Casa de Vila;Campo Grande;1;0;0;40;550.0;;
Apartamento;Catete;1;0;0;42;1000.0;530.0;
Quitinete;Centro;1;0;0;23;650.0;439.0;25.0
Apartamento;Senador Vasconcelos;1;1;0;80;690.0;;
Apartamento;Santa Teresa;1;0;0;25;850.0;370.0;14.0
Apartamento;Copacabana;1;0;0;41;900.0;700.0;
Apartamento;Cachambi;1;1;0;54;900.0;500.0;39.0
Apartamento;Barra da Tijuca;1;1;0;42;850.0;762.0;40.0
Quitinete;Centro;1;0;0;28;900.0;172.0;24.0
Apartamento;Campo Grande;1;0;0;40;500.0;;
Quitinete;Flamengo;1;0;0;50;1050.0;800.0;70.0
Apartamento;Tijuca;1;1;0;50;1100.0;567.0;20.0
Quitinete;Copacabana;1;0;0;26;1000.0;415.0;56.0
Apartamento;Centro;1;0;0;46;850.0;550.0;45.0
Casa;Campo Grande;1;0;0;55;500.0;;
Quitinete;Copacabana;1;0;0;17;800.0;520.0;17.0
Quitinete;Copacabana;1;0;0;41;1100.0;640.0;68.0
Quitinete;Centro;1;0;0;25;800.0;350.0;20.0
Apartamento;Encantado;1;1;0;45;900.0;496.0;
Apartamento;Botafogo;1;0;0;26;1100.0;270.0;
Apartamento;Marechal Hermes;1;1;0;48;600.0;155.0;
Apartamento;Tijuca;1;0;1;40;1100.0;390.0;25.0
Apartamento;Vila Isabel;1;0;0;30;1100.0;385.0;21.0
Apartamento;Méier;1;0;0;60;900.0;582.0;20.0
Apartamento;Vila da Penha;1;0;0;35;800.0;;
Apartamento;Gardênia Azul;1;0;0;30;705.0;;
Apartamento;Vila Isabel;1;0;0;30;1100.0;400.0;
Quitinete;Copacabana;1;0;0;25;900.0;270.0;
Apartamento;Vila Isabel;1;0;0;60;800.0;303.0;25.0
Apartamento;Santa Teresa;1;0;0;27;900.0;340.0;
Apartamento;Penha;1;0;0;45;900.0;;
Quitinete;Centro;1;0;0;30;700.0;450.0;25.0
Apartamento;Glória;1;0;0;30;1000.0;500.0;20.0
Quitinete;Centro;1;0;0;32;1100.0;400.0;22.0
Quitinete;Centro;1;0;0;20;850.0;390.0;24.0
Apartamento;Senador Vasconcelos;1;1;1;50;800.0;180.0;
Apartamento;Freguesia (Jacarepaguá);1;1;0;60;950.0;583.0;140.0
Casa de Vila;Madureira;1;1;0;45;750.0;30.0;
Quitinete;Centro;1;0;0;28;780.0;420.0;24.0
Quitinete;Copacabana;1;0;0;25;750.0;496.0;29.0
Apartamento;Higienópolis;1;0;0;45;700.0;;25.0
